author, day, timestamp, id, title
chrisbarncard,Thu, 01 Jul 2010 21:04:23 +0000,2023601,But it was soooooo George. RT @mindlessfunk: Dear GeorgeCOMMA it's not you it's me ... #TinyDeclaration
jamesefrank,Thu, 01 Jul 2010 20:41:33 +0000,20396340,RT @mindlessfunk: Dear GeorgeCOMMA it's not you it's me. We've had funCOMMA but I can't pretend it's still working when it's not. It's over. &lt;3 USA #TinyDeclaration
SarabethRVA,Thu, 01 Jul 2010 20:38:59 +0000,12787744,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
pollaklibrary,Thu, 01 Jul 2010 20:25:23 +0000,17891792,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
NEHgov,Thu, 01 Jul 2010 20:21:54 +0000,127698866,Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration  See T.J's rough draft at NEH-funded PAPERS OF THOMAS JEFFERSON http://tiny.cc/crrb8
Retroinfo,Thu, 01 Jul 2010 20:15:38 +0000,11290005,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
RennaW,Thu, 01 Jul 2010 20:11:45 +0000,20057166,Given that we are naturally freeCOMMA we have a rightCOMMA nay duty to throw off tyranny &amp; form a government to protect our rights. #TinyDeclaration
jsench,Thu, 01 Jul 2010 20:06:33 +0000,89874360,Really hope we don't have to fight over domination of trade routes and fungible natural resources again in 1812. #TinyDeclaration
jsench,Thu, 01 Jul 2010 20:00:17 +0000,89874360,LifeCOMMA libertyCOMMA and property.  WaitCOMMA don't get any ideasCOMMA #Haiti. #1776 #1791 #TinyDeclaration
jsench,Thu, 01 Jul 2010 19:52:27 +0000,89874360,We colonial elites can't properly capitalize this place &amp; these people in our interest if you insist on taxing the spoils.  #TinyDeclaration
tami24,Thu, 01 Jul 2010 19:41:02 +0000,5281684,RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
SCOTUSTweets,Thu, 01 Jul 2010 19:34:58 +0000,129490196,Kennedy: You guys can't get away with this crap anymore. I know my rights. #TinyDeclaration
woodpainter,Thu, 01 Jul 2010 19:10:30 +0000,326956,RT @harbatkat: We hold these truths to be self-evidentCOMMA that all men are created equal -- wellCOMMA some men. And no women. #TinyDeclaration
AppletonVnP,Thu, 01 Jul 2010 18:38:46 +0000,88802969,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
harbatkat,Thu, 01 Jul 2010 18:30:12 +0000,49683807,We hold these truths to be self-evidentCOMMA that all men are created equal -- wellCOMMA some men. And no women. #TinyDeclaration
ke6cbr,Thu, 01 Jul 2010 18:28:34 +0000,1333286,I'm'a explainCOMMA not convolute: We no need youCOMMA George III. You no respect us. Peace out. Stand tall. #TinyDeclaration @artwiculate
WisconsinBBB,Thu, 01 Jul 2010 18:26:10 +0000,9400565,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
